1,Goroka Airport,Goroka,Papua New Guinea,-6.0816898346,145.391998291
2,Madang Airport,Madang,Papua New Guinea,-5.2070798874,145.789001465
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,-5.826789856,144.296005249
4,Nadzab Airport,Nadzab,Papua New Guinea,-6.569803,146.725977
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,-9.4433803558,147.2200012207
6,Wewak International Airport,Wewak,Papua New Guinea,-3.5838301182,143.669006348
7,Narsarsuaq Airport,Narssarssuaq,Greenland,61.1604995728,-45.4259986877
8,Godthaab / Nuuk Airport,Godthaab,Greenland,64.19090271,-51.6781005859
9,Kangerlussuaq Airport,Sondrestrom,Greenland,67.0122218992,-50.7116031647
10,Thule Air Base,Thule,Greenland,76.5311965942,-68.7032012939
11,Akureyri Airport,Akureyri,Iceland,65.6600036621,-18.0727005005
12,Egilsstaðir Airport,Egilsstadir,Iceland,65.2833023071,-14.4013996124
13,Hornafjörður Airport,Hofn,Iceland,64.295601,-15.2272
14,Húsavík Airport,Husavik,Iceland,65.952301,-17.426001
15,Ísafjörður Airport,Isafjordur,Iceland,66.0580978394,-23.1352996826
16,Keflavik International Airport,Keflavik,Iceland,63.9850006104,-22.6056003571
17,Patreksfjörður Airport,Patreksfjordur,Iceland,65.555801,-23.965
18,Reykjavik Airport,Reykjavik,Iceland,64.1299972534,-21.9405994415
19,Siglufjörður Airport,Siglufjordur,Iceland,66.133301,-18.9167
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,63.4243011475,-20.2789001465
21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,46.4850006104,-84.5093994141
22,Winnipeg / St. Andrews Airport,Winnipeg,Canada,50.0564002991,-97.0325012207
23,Halifax / CFB Shearwater Heliport,Halifax,Canada,44.6397018433,-63.4994010925
24,St. Anthony Airport,St. Anthony,Canada,51.3918991089,-56.0830993652
25,Tofino / Long Beach Airport,Tofino,Canada,49.079833,-125.775583
26,Kugaaruk Airport,Pelly Bay,Canada,68.534401,-89.808098
27,Baie Comeau Airport,Baie Comeau,Canada,49.1324996948,-68.2043991089
28,CFB Bagotville,Bagotville,Canada,48.3306007385,-70.9963989258
29,Baker Lake Airport,Baker Lake,Canada,64.2988967896,-96.077796936
30,Campbell River Airport,Campbell River,Canada,49.9508018494,-125.2710037231
31,Brandon Municipal Airport,Brandon,Canada,49.91,-99.951897
32,Cambridge Bay Airport,Cambridge Bay,Canada,69.1081008911,-105.138000488
33,Nanaimo Airport,Nanaimo,Canada,49.0549702249,-123.869862556
34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,49.2963981628,-117.632003784
35,Miramichi Airport,Chatham,Canada,47.007801,-65.449203
36,Charlo Airport,Charlo,Canada,47.990799,-66.330299
37,Kugluktuk Airport,Coppermine,Canada,67.8167037964,-115.143997192
38,Coronation Airport,Coronation,Canada,52.0750007629,-111.444999695
39,Chilliwack Airport,Chilliwack,Canada,49.1528015137,-121.939002991
40,Clyde River Airport,Clyde River,Canada,70.4860992432,-68.5167007446
41,Coral Harbour Airport,Coral Harbour,Canada,64.1932983398,-83.3593978882
42,Dawson City Airport,Dawson,Canada,64.0430984497,-139.1280059814
43,Burwash Airport,Burwash,Canada,61.3711013794,-139.0410003662
44,Princeton Airport,Princeton,Canada,49.4681015015,-120.511001587
45,Deer Lake Airport,Deer Lake,Canada,49.2108001709,-57.3913993835
46,Dease Lake Airport,Dease Lake,Canada,58.4221992493,-130.031997681
47,Dauphin Barker Airport,Dauphin,Canada,51.1007995605,-100.0520019531
48,Dawson Creek Airport,Dawson Creek,Canada,55.7422981262,-120.1829986572
49,Edmonton International Airport,Edmonton,Canada,53.3097000122,-113.580001831
50,Arviat Airport,Eskimo Point,Canada,61.0942001343,-94.0708007812
51,Estevan Airport,Estevan,Canada,49.2103004456,-102.966003418
52,Edson Airport,Edson,Canada,53.5788993835,-116.464996338
53,Eureka Airport,Eureka,Canada,79.9946975708,-85.814201355
54,Inuvik Mike Zubko Airport,Inuvik,Canada,68.3041992188,-133.483001709
55,Iqaluit Airport,Iqaluit,Canada,63.756401062,-68.5558013916
56,Fredericton Airport,Fredericton,Canada,45.8689002991,-66.5372009277
58,Flin Flon Airport,Flin Flon,Canada,54.6781005859,-101.6819992065
59,Fort Resolution Airport,Fort Resolution,Canada,61.1808013916,-113.690002441
60,Fort Simpson Airport,Fort Simpson,Canada,61.7602005005,-121.2369995117
61,Kingston Norman Rogers Airport,Kingston,Canada,44.2252998352,-76.5969009399
62,La Grande Rivière Airport,La Grande Riviere,Canada,53.6253013611,-77.7042007446
63,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,48.7752990723,-64.4785995483
64,Geraldton Greenstone Regional Airport,Geraldton,Canada,49.778301239,-86.9393997192
65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,47.4247016907,-61.7780990601
66,Hudson Bay Airport,Hudson Bay,Canada,52.8166999817,-102.310997009
67,Dryden Regional Airport,Dryden,Canada,49.8316993713,-92.7442016602
68,Ulukhaktok Holman Airport,Holman Island,Canada,70.762802124,-117.8059997559
69,Gjoa Haven Airport,Gjoa Haven,Canada,68.635597229,-95.8497009277
70,John C. Munro Hamilton International Airport,Hamilton,Canada,43.1735992432,-79.9349975586
71,Montréal / Saint-Hubert Airport,Montreal,Canada,45.5175018311,-73.4169006348
72,Hay River / Merlyn Carter Airport,Hay River,Canada,60.8396987915,-115.782997131
73,Halifax / Stanfield International Airport,Halifax,Canada,44.8807983398,-63.5085983276
74,Atikokan Municipal Airport,Atikokan,Canada,48.7738990784,-91.6386032104
75,Pond Inlet Airport,Pond Inlet,Canada,72.6832962036,-77.9666976929
76,St Jean Airport,St. Jean,Canada,45.2943992615,-73.2810974121
77,Stephenville Airport,Stephenville,Canada,48.5442008972,-58.5499992371
78,Kamloops Airport,Kamloops,Canada,50.7022018433,-120.444000244
79,Waterloo Airport,Waterloo,Canada,43.4608001709,-80.3786010742
80,Schefferville Airport,Schefferville,Canada,54.8053016663,-66.8052978516
81,Kindersley Airport,Kindersley,Canada,51.5175018311,-109.180999756
82,Buttonville Municipal Airport,Toronto,Canada,43.8622016907,-79.3700027466
83,Chapleau Airport,Chapleau,Canada,47.8199996948,-83.3467025757
84,Meadow Lake Airport,Meadow Lake,Canada,54.1253013611,-108.5230026245
85,Lloydminster Airport,Lloydminster,Canada,53.3092002869,-110.0729980469
86,Alert Airport,Alert,Canada,82.5177993774,-62.2806015015
87,Kelowna International Airport,Kelowna,Canada,49.9561004639,-119.377998352
88,Mayo Airport,Mayo,Canada,63.6164016724,-135.8679962158
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,50.3302993774,-105.5589981079
90,Fort McMurray Airport,Fort Mcmurray,Canada,56.653301239,-111.222000122
